ELECTION_E,ELECTION_F,PROVINCE_E,PROVINCE_F,GENDER_E,GENDER_F,AGE_GROUP_E,AGE_GROUP_F,VOTES,ELIGIBLE_ELECTORS,TURNOUT_ELIGIBLE_ELECTOR,
"GE 38, 2004","ÉG 38, 2004","Canada","Canada","All genders","Tous les genres","18 to 24 years - First-time electors","18 à 24 ans - Nouveaux électeurs","570361","1430534","0.3987051655",
"GE 38, 2004","ÉG 38, 2004","Canada","Canada","All genders","Tous les genres","18 to 24 years - Not first-time electors","18 à 24 ans - Pas de nouveaux électeurs","475678","1375332","0.3458639924",
"GE 38, 2004","ÉG 38, 2004","Canada","Canada","All genders","Tous les genres","18 to 24 years - all electors","18 à 24 ans - Tous les électeurs","1046039","2805866","0.3728043718",
"GE 38, 2004","ÉG 38, 2004","Canada","Canada","All genders","Tous les genres","25 to 34 years","25 à 34 ans","1746723","3939239","0.4434162936",
"GE 38, 2004","ÉG 38, 2004","Canada","Canada","All genders","Tous les genres","All ages","Tous les âges","13625894","23309360","0.5845674871",
"GE 39, 2006","ÉG 39, 2006","Canada","Canada","All genders","Tous les genres","18 to 24 years - First-time electors","18 à 24 ans - Nouveaux électeurs","262609","618655","0.4244832315",
"GE 39, 2006","ÉG 39, 2006","Canada","Canada","All genders","Tous les genres","18 to 24 years - Not first-time electors","18 à 24 ans - Pas de nouveaux électeurs","956280","2153711","0.444014784",
"GE 39, 2006","ÉG 39, 2006","Canada","Canada","All genders","Tous les genres","18 to 24 years - all electors","18 à 24 ans - Tous les électeurs","1218888","2772366","0.4396563073",
"GE 39, 2006","ÉG 39, 2006","Canada","Canada","All genders","Tous les genres","25 to 34 years","25 à 34 ans","1990108","3985507","0.4993362454",
"GE 39, 2006","ÉG 39, 2006","Canada","Canada","All genders","Tous les genres","All ages","Tous les âges","14908703","23736542","0.6280907725",
"GE 40, 2008","ÉG 40, 2008","Canada","Canada","All genders","Tous les genres","18 to 24 years - First-time electors","18 à 24 ans - Nouveaux électeurs","408426","1146271","0.3563080318",
"GE 40, 2008","ÉG 40, 2008","Canada","Canada","All genders","Tous les genres","18 to 24 years - Not first-time electors","18 à 24 ans - Pas de nouveaux électeurs","691297","1796889","0.3847191188",
"GE 40, 2008","ÉG 40, 2008","Canada","Canada","All genders","Tous les genres","18 to 24 years - all electors","18 à 24 ans - Tous les électeurs","1099723","2943160","0.3736538657",
"GE 40, 2008","ÉG 40, 2008","Canada","Canada","All genders","Tous les genres","25 to 34 years","25 à 34 ans","1919208","4002320","0.4795239554",
"GE 40, 2008","ÉG 40, 2008","Canada","Canada","All genders","Tous les genres","All ages","Tous les âges","13929093","24661345","0.5648148031",
"GE 41, 2011","ÉG 41, 2011","Canada","Canada","All genders","Tous les genres","18 to 24 years - First-time electors","18 à 24 ans - Nouveaux électeurs","432750","1067382","0.4054311499",
"GE 41, 2011","ÉG 41, 2011","Canada","Canada","All genders","Tous les genres","18 to 24 years - Not first-time electors","18 à 24 ans - Pas de nouveaux électeurs","721652","1907207","0.3783813269",
"GE 41, 2011","ÉG 41, 2011","Canada","Canada","All genders","Tous les genres","18 to 24 years - all electors","18 à 24 ans - Tous les électeurs","1154402","2974589","0.388087708",
"GE 41, 2011","ÉG 41, 2011","Canada","Canada","All genders","Tous les genres","25 to 34 years","25 à 34 ans","1882577","4173773","0.4510492842",
"GE 41, 2011","ÉG 41, 2011","Canada","Canada","All genders","Tous les genres","All ages","Tous les âges","14823408","25337735","0.5850328673",
"GE 42, 2015","ÉG 42, 2015","Canada","Canada","All genders","Tous les genres","18 to 24 years - First-time electors","18 à 24 ans - Nouveaux électeurs","1074217","1843131","0.582822058",
"GE 42, 2015","ÉG 42, 2015","Canada","Canada","All genders","Tous les genres","18 to 24 years - Not first-time electors","18 à 24 ans - Pas de nouveaux électeurs","629753","1143091","0.55092121",
"GE 42, 2015","ÉG 42, 2015","Canada","Canada","All genders","Tous les genres","18 to 24 years - all electors","18 à 24 ans - Tous les électeurs","1703971","2986222","0.570610787",
"GE 42, 2015","ÉG 42, 2015","Canada","Canada","All genders","Tous les genres","25 to 34 years","25 à 34 ans","2511805","4373006","0.574388601",
"GE 42, 2015","ÉG 42, 2015","Canada","Canada","All genders","Tous les genres","All ages","Tous les âges","17711983","26808942","0.6606744407",
"GE 43, 2019","ÉG 43, 2019","Canada","Canada","All genders","Tous les genres","18 to 24 years - First-time electors","18 à 24 ans - Nouveaux électeurs","815235","1520417","0.5361917013",
"GE 43, 2019","ÉG 43, 2019","Canada","Canada","All genders","Tous les genres","18 to 24 years - Not first-time electors","18 à 24 ans - Pas de nouveaux électeurs","678452","1252052","0.5418720983",
"GE 43, 2019","ÉG 43, 2019","Canada","Canada","All genders","Tous les genres","18 to 24 years - all electors","18 à 24 ans - Tous les électeurs","1493687","2772468","0.5387569791",
"GE 43, 2019","ÉG 43, 2019","Canada","Canada","All genders","Tous les genres","25 to 34 years","25 à 34 ans","2529631","4332437","0.5838817007",
"GE 43, 2019","ÉG 43, 2019","Canada","Canada","All genders","Tous les genres","All ages","Tous les âges","18350359","27374074","0.6703554183",
"GE 44, 2021","ÉG 44, 2021","Canada","Canada","All genders","Tous les genres","18 to 24 years - First-time electors","18 à 24 ans - Nouveaux électeurs","312518","698651","0.4473161038",
"GE 44, 2021","ÉG 44, 2021","Canada","Canada","All genders","Tous les genres","18 to 24 years - Not first-time electors","18 à 24 ans - Pas de nouveaux électeurs","933386","1969184","0.473996075",
"GE 44, 2021","ÉG 44, 2021","Canada","Canada","All genders","Tous les genres","18 to 24 years - all electors","18 à 24 ans - Tous les électeurs","1245903","2667835","0.467009141",
"GE 44, 2021","ÉG 44, 2021","Canada","Canada","All genders","Tous les genres","25 to 34 years","25 à 34 ans","2288123","4335858","0.5277208859",
"GE 44, 2021","ÉG 44, 2021","Canada","Canada","All genders","Tous les genres","All ages","Tous les âges","17209811","27647165","0.6224801365",
